"domain","resource","field","type","required","visibility","provenance","verification","mutability","notes"
"core","PropertyRecord","property_category","enum","R","authenticated","user|official","optional","stable","residential/commercial/office/land/mixed"
"core","PropertyRecord","property_subtype","enum","R","authenticated","user|official","optional","stable","apartment/villa_house/commercial_shop/office/land/agricultural_garden/industrial_warehouse/teardown_old"
"core","PropertyRecord","display_name","text","R","authenticated","user","none","observed","user-facing alias"
"core","PropertyRecord","lifecycle_state","enum","R","authenticated","platform","platform","temporal","active/archived/disputed"
"core","PropertyRecord","occupancy_state","enum","O","scoped","lease|user","optional","temporal","vacant/tenant_occupied/etc"
"core","Address","province","text","R","scoped","user|provider","optional","stable","normalized lookup preferred"
"core","Address","city","text","R","scoped","user|provider","optional","stable",""
"core","Address","neighborhood","text","O","scoped","user|provider","optional","stable",""
"core","Address","street","text","O","owner|occupant","user|provider","optional","stable",""
"core","Address","plaque","text","O","owner|occupant","user|provider","optional","stable",""
"core","Address","unit_text","text","O","scoped","user|provider","optional","stable",""
"core","Address","postal_code","varchar(10)","O","sensitive","provider|official","provider|official","stable","Iran postal code; validate separately"
"core","Geo","latitude","numeric(9,6)","O","scoped","provider|official|user","optional","observed",""
"core","Geo","longitude","numeric(9,6)","O","scoped","provider|official|user","optional","observed",""
"core","Geo","geometry","geometry","O","owner","official|provider","optional","observed","polygon/multipolygon"
"physical","Parcel","area_m2","numeric(12,2)","C","scoped","official|document|inspection","optional","observed","store measurement source"
"physical","Parcel","frontage_m","numeric(8,2)","O","scoped","evidence|user","optional","observed",""
"physical","Parcel","depth_m","numeric(8,2)","O","scoped","evidence|user","optional","observed",""
"physical","Parcel","road_width_m","numeric(8,2)","O","scoped","evidence|user","optional","observed",""
"physical","Parcel","orientation","enum","O","authenticated","user|evidence","optional","observed",""
"physical","Parcel","front_count","smallint","O","authenticated","user|evidence","optional","observed",""
"physical","Parcel","shape","enum","O","authenticated","user|inspection","optional","observed",""
"physical","Parcel","slope","enum","O","authenticated","user|inspection","optional","observed",""
"physical","Parcel","registered_land_use","enum","O","owner","official|document","evidence_backed","stable",""
"physical","Structure","structure_type","enum","R","authenticated","user|official","optional","stable","building/villa/house/warehouse"
"physical","Structure","year_built","smallint","O","authenticated","document|user","optional","observed",""
"physical","Structure","floors_above","smallint","O","authenticated","document|user","optional","observed",""
"physical","Structure","floors_below","smallint","O","authenticated","document|user","optional","observed",""
